start,end,latitude,longitude,altitude,precision,Feature to be mapped
2/1/2024,2/1/2024,7.236668,5.205773,368.2,3.799999952,Illegal Dumpsites
2/1/2024,2/1/2024,7.23475,5.20616,360.4,4.699999809,Illegal Dumpsites
2/1/2024,2/1/2024,7.235222,5.206452,365,2,Illegal Dumpsites
2/1/2024,2/1/2024,7.235426,5.207568,368.1090965,5,Illegal Dumpsites
2/1/2024,2/1/2024,7.236865,5.212247,370.6,1.899999976,Illegal Dumpsites
2/1/2024,2/1/2024,7.232212,5.208297,350.6083641,5,Illegal Dumpsites
2/2/2024,2/2/2024,7.228547,5.201535,364.5,2.871999979,Illegal Dumpsites
2/2/2024,2/2/2024,7.231578,5.20281,358.1,2,Illegal Dumpsites
2/2/2024,2/2/2024,7.227773,5.205207,361.1,2,Illegal Dumpsites
2/2/2024,2/2/2024,7.227153,5.204787,369.7,2.849999905,Illegal Dumpsites
2/2/2024,2/2/2024,7.231352,5.210505,356.8,2.299999952,Illegal Dumpsites
2/2/2024,2/2/2024,7.227658,5.18619,383.0783348,5,Illegal Dumpsites
2/2/2024,2/2/2024,7.227244,5.189536,370.6089745,5,Illegal Dumpsites
2/2/2024,2/2/2024,7.234038,5.19739,362.9,4,Illegal Dumpsites
2/2/2024,2/2/2024,7.227224,5.188536,370.7327538,5,Illegal Dumpsites
2/2/2024,2/2/2024,7.227444,5.192855,373.0964012,5,Illegal Dumpsites
2/2/2024,2/2/2024,7.228672,5.190065,369.7236595,5,Illegal Dumpsites
2/2/2024,2/2/2024,7.236017,5.195935,357.7,5.099999905,Illegal Dumpsites
2/2/2024,2/2/2024,7.231172,5.187839,372.0384178,5,Illegal Dumpsites
2/2/2024,2/2/2024,7.231858,5.186801,364.6851463,5,Illegal Dumpsites
2/2/2024,2/2/2024,7.231954,5.184939,353.52145,5,Illegal Dumpsites
2/2/2024,2/2/2024,7.228487,5.196379,383.5,2.450000048,Illegal Dumpsites
2/2/2024,2/2/2024,7.229355,5.185418,379.4600487,5,Illegal Dumpsites
2/2/2024,2/2/2024,7.230129,5.18442,357.7373314,5,Illegal Dumpsites
2/2/2024,2/3/2024,7.233791,5.195421,352.0414696,5,Illegal Dumpsites
2/3/2024,2/3/2024,7.232317,5.193407,365.8188133,5,Illegal Dumpsites
2/3/2024,2/3/2024,7.239127,5.200185,355,3.720399857,Illegal Dumpsites
2/3/2024,2/3/2024,7.240476,5.200158,361.2,5.050000191,Illegal Dumpsites
2/3/2024,2/3/2024,7.232821,5.190666,356.2687645,5,Illegal Dumpsites
2/3/2024,2/3/2024,7.23949,5.197652,356.4,1.850000024,Illegal Dumpsites
2/3/2024,2/3/2024,7.236558,5.190198,355.7934227,5,Illegal Dumpsites
2/3/2024,2/3/2024,7.24142,5.204355,366.9,4.400000095,Illegal Dumpsites
2/3/2024,2/3/2024,7.240777,5.20453,366.3,4.400000095,Illegal Dumpsites
2/3/2024,2/3/2024,7.240225,5.205145,366.8,2.349999905,Illegal Dumpsites
2/3/2024,2/3/2024,7.241768,5.201764,371.9,4.5,Illegal Dumpsites
2/3/2024,2/3/2024,7.239866,5.187919,350.780117,5,Illegal Dumpsites
2/3/2024,2/3/2024,7.239439,5.189076,354.2637596,5,Illegal Dumpsites
2/3/2024,2/3/2024,7.246224,5.192208,344.0870018,5,Illegal Dumpsites
2/3/2024,2/3/2024,7.247181,5.193473,347.9876366,5,Illegal Dumpsites
2/3/2024,2/3/2024,7.249564,5.192602,346.3005028,5,Illegal Dumpsites
