start,end,_Get Coordinates of Feature_latitude,_Get Coordinates of Feature_longitude,_Get Coordinates of Feature_altitude,_Get Coordinates of Feature_precision,Feature to be mapped,Take a clear Photo of the Transformer,Take a clear Photo of the Transformer_URL,What telecommunication network owns it?,Provide a clear photo of the Illegal dumpsite,Provide a clear photo of the Illegal dumpsite_URL,What is the Environmental Hazard,Well_Water_Level___,Provide a clear photo of the mast showing the logo of the telecoms provider,Provide a clear photo of the mast showing the logo of the telecoms provider_URL,Provide a clear photo of the environmental hazard,Provide a clear photo of the environmental hazard_URL,_index
2024-02-01,2024-02-01,7.236309,5.202564,370.5477562,5,Well_Water_Level,,,,,,,8.3,,,,,1
2024-02-01,2024-02-01,7.236501,5.203213,365.3285179,5,Well_Water_Level,,,,,,,7.36,,,,,2
2024-02-01,2024-02-01,7.236285,5.203308,365.9129906,5,Well_Water_Level,,,,,,,6.33,,,,,3
2024-02-01,2024-02-01,7.236249,5.203416,365.1839256,5,Environmental Hazards,,,,,,Erosion ,,,,image-6_41_36.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F708d2a68-4a8f-4cff-aa42-c91d867274ae%2Fimage-6_41_36.jpg,4
2024-02-01,2024-02-01,7.23613,5.203657,370.278286,5,Well_Water_Level,,,,,,,6.07,,,,,5
2024-02-01,2024-02-01,7.236122,5.20399,374,3.900000095,Well_Water_Level,,,,,,,5.59,,,,,6
2024-02-01,2024-02-01,7.235918,5.204262,373,4.951800346,Environmental Hazards,,,,,,Erosion ,,,,1706788592122512029531321181145-12_56_47.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F54892d43-7ccc-47b6-ab73-7d19f1e86768%2F1706788592122512029531321181145-12_56_47.jpg,7
2024-02-01,2024-02-01,7.23583,5.204367,374.8,2.099999905,Well_Water_Level,,,,,,,5.69,,,,,8
2024-02-01,2024-02-01,7.235387,5.204143,372.5,4.300000191,Well_Water_Level,,,,,,,6.32,,,,,9
2024-02-01,2024-02-01,7.2353,5.203655,372.6,5,Environmental Hazards,,,,,,Erosion ,,,,17067891194813401007253742423668-13_5_27.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2F6bb835d2-2ef1-4135-8ee9-7f470d117a72%2F17067891194813401007253742423668-13_5_27.jpg,10
2024-02-01,2024-02-01,7.235593,5.203237,364.5,4.599999905,Well_Water_Level,,,,,,,6.3,,,,,11
2024-02-01,2024-02-01,7.236716,5.202807,369.3266258,5,Well_Water_Level,,,,,,,7.56,,,,,12
2024-02-01,2024-02-01,7.236787,5.202777,371.5102806,5,Well_Water_Level,,,,,,,7.16,,,,,13
2024-02-01,2024-02-01,7.237022,5.203373,381.6,4.400000095,Well_Water_Level,,,,,,,5.74,,,,,14
2024-02-01,2024-02-01,7.236939,5.203529,364.4628563,5,Well_Water_Level,,,,,,,5.65,,,,,15
2024-02-01,2024-02-01,7.236833,5.203887,382.1,4.699999809,Well_Water_Level,,,,,,,5.13,,,,,16
2024-02-01,2024-02-01,7.236616,5.204848,381.5,4.800000191,Well_Water_Level,,,,,,,5.5,,,,,17
2024-02-01,2024-02-01,7.237318,5.205383,354.6455956,5,Telephone Masts,,,Unknown,,,,,image-7_47_35.jpg,https://kc-eu.kobotoolbox.org/media/original?media_file=rsg_futa%2Fattachments%2F08314d5cb3504ee39083b0f9533ae0fd%2Feac8e33d-3b88-42b5-b7a7-24a80ba64882%2Fimage-7_47_35.jpg,,,18
