start,end,latitude,longitude,altitude,precision,Feature to be mapped
2/1/2024,2/1/2024,7.237318,5.205383,354.6455956,5,Telephone Masts
2/1/2024,2/1/2024,7.239979,5.20876,374.9,2,Telephone Masts
2/1/2024,2/1/2024,7.237283,5.212058,371,4.449999809,Telephone Masts
2/1/2024,2/1/2024,7.233606,5.207948,365.3,3.400000095,Telephone Masts
2/2/2024,2/2/2024,7.227193,5.20456,370.3,2.099999905,Telephone Masts
2/2/2024,2/2/2024,7.228109,5.197701,383.5,2,Telephone Masts
2/2/2024,2/2/2024,7.228332,5.186784,367.4757347,5,Telephone Masts
2/2/2024,2/2/2024,7.228172,5.189737,376.3409081,5,Telephone Masts
2/2/2024,2/2/2024,7.230625,5.198413,377.7,2.365999937,Telephone Masts
2/2/2024,2/2/2024,7.228512,5.194926,377.2,3.799999952,Telephone Masts
2/3/2024,2/3/2024,7.23785,5.199462,361,2.200000048,Telephone Masts
2/3/2024,2/3/2024,7.236978,5.188232,345.7226219,5,Telephone Masts
2/3/2024,2/3/2024,7.241323,5.206388,370.9,2.299999952,Telephone Masts
2/3/2024,2/3/2024,7.238894,5.192729,343.9550438,5,Telephone Masts
2/3/2024,2/3/2024,7.23911,5.187419,351.1213036,5,Telephone Masts
2/3/2024,2/3/2024,7.242434,5.189034,341.9234886,5,Telephone Masts
