start,end,latitude,longitude,altitude,precision,Feature to be mapped
2/1/2024,2/1/2024,7.235085,5.205793,372.3,2.200000048,Transformer
2/1/2024,2/1/2024,7.236623,5.208965,377.1,2,Transformer
2/1/2024,2/1/2024,7.238359,5.210103,371.6,1.549999952,Transformer
2/1/2024,2/1/2024,7.232883,5.205722,374.7,2.299999952,Transformer
2/1/2024,2/1/2024,7.23224,5.208295,351.3984032,5,Transformer
2/2/2024,2/2/2024,7.228414,5.202816,368.4,3.076999903,Transformer
2/2/2024,2/2/2024,7.230636,5.204083,363,3.599999905,Transformer
2/2/2024,2/2/2024,7.226666,5.199077,376.3,2,Transformer
2/2/2024,2/2/2024,7.227272,5.197768,386.5,4.849999905,Transformer
2/2/2024,2/2/2024,7.230333,5.196313,380.3,2.099999905,Transformer
2/2/2024,2/2/2024,7.229838,5.198805,377.2,3.900000095,Transformer
2/2/2024,2/2/2024,7.232965,5.197495,373.1,2,Transformer
2/2/2024,2/2/2024,7.231596,5.184775,355.0038109,5,Transformer
2/2/2024,2/2/2024,7.230799,5.184305,367.1692772,5,Transformer
2/2/2024,2/2/2024,7.228988,5.186443,373.2409325,5,Transformer
2/3/2024,2/3/2024,7.237855,5.199463,361,2.5,Transformer
2/3/2024,2/3/2024,7.232717,5.191815,362.8297997,5,Transformer
2/3/2024,2/3/2024,7.241802,5.199815,366.9,2.099999905,Transformer
2/3/2024,2/3/2024,7.239178,5.203135,363.7,1.899999976,Transformer
2/3/2024,2/3/2024,7.237136,5.192749,352.889492,5,Transformer
2/3/2024,2/3/2024,7.241768,5.201764,371.9,4.400000095,Transformer
2/3/2024,2/3/2024,7.241691,5.198736,371.9,2.5,Transformer
2/3/2024,2/3/2024,7.239363,5.187109,350.9176292,5,Transformer
2/3/2024,2/3/2024,7.242942,5.191673,350.5944481,5,Transformer
2/3/2024,2/3/2024,7.242432,5.199118,370.7,4.5,Transformer
2/3/2024,2/3/2024,7.240103,5.192712,347.9861717,5,Transformer
2/3/2024,2/3/2024,7.238956,5.194861,345.7586327,5,Transformer
2/3/2024,2/3/2024,7.245053,5.202035,384.8999939,2,Transformer
