start,end,latitude,longitude,altitude,precision,Feature to be mapped,What is the Environmental Hazard,Well_Water_Level
2/1/2024,2/1/2024,7.236309,5.202564,370.5477562,5,Well_Water_Level,,8.3
2/1/2024,2/1/2024,7.236501,5.203213,365.3285179,5,Well_Water_Level,,7.36
2/1/2024,2/1/2024,7.236285,5.203308,365.9129906,5,Well_Water_Level,,6.33
2/1/2024,2/1/2024,7.23613,5.203657,370.278286,5,Well_Water_Level,,6.07
2/1/2024,2/1/2024,7.236122,5.20399,374,3.900000095,Well_Water_Level,,5.59
2/1/2024,2/1/2024,7.23583,5.204367,374.8,2.099999905,Well_Water_Level,,5.69
2/1/2024,2/1/2024,7.235387,5.204143,372.5,4.300000191,Well_Water_Level,,6.32
2/1/2024,2/1/2024,7.235593,5.203237,364.5,4.599999905,Well_Water_Level,,6.3
2/1/2024,2/1/2024,7.236716,5.202807,369.3266258,5,Well_Water_Level,,7.56
2/1/2024,2/1/2024,7.236787,5.202777,371.5102806,5,Well_Water_Level,,7.16
2/1/2024,2/1/2024,7.237022,5.203373,381.6,4.400000095,Well_Water_Level,,5.74
2/1/2024,2/1/2024,7.236939,5.203529,364.4628563,5,Well_Water_Level,,5.65
2/1/2024,2/1/2024,7.236833,5.203887,382.1,4.699999809,Well_Water_Level,,5.13
2/1/2024,2/1/2024,7.236616,5.204848,381.5,4.800000191,Well_Water_Level,,5.5
2/1/2024,2/1/2024,7.237143,5.205407,367.6829491,5,Well_Water_Level,,2.94
2/1/2024,2/1/2024,7.236668,5.205773,368.2,3.900000095,Well_Water_Level,,2.97
2/1/2024,2/1/2024,7.234762,5.206253,365.2,3.15199995,Well_Water_Level,,2.73
2/1/2024,2/1/2024,7.23507,5.207336,353.4184837,5,Well_Water_Level,,3.39
2/1/2024,2/1/2024,7.235927,5.207944,369.3,2.400000095,Well_Water_Level,,6.11
2/1/2024,2/1/2024,7.236952,5.20783,371.7,2.099999905,Well_Water_Level,,5.28
2/1/2024,2/1/2024,7.23734,5.208055,372.6,1.899999976,Well_Water_Level,,5.58
2/1/2024,2/1/2024,7.235503,5.209468,373.1,1.899999976,Well_Water_Level,,6.84
2/1/2024,2/1/2024,7.235362,5.208993,371.3,2,Well_Water_Level,,5.08
2/1/2024,2/1/2024,7.236539,5.20976,373.4,2.099999905,Well_Water_Level,,7.34
2/1/2024,2/1/2024,7.236783,5.210578,368.9,2.099999905,Well_Water_Level,,3.08
2/1/2024,2/1/2024,7.236027,5.210496,369.4,4.449999809,Well_Water_Level,,2.7
2/1/2024,2/1/2024,7.23851,5.207758,364.6,2.099999905,Well_Water_Level,,2.18
2/1/2024,2/1/2024,7.239782,5.209339,378,4.849999905,Well_Water_Level,,7.62
2/1/2024,2/1/2024,7.235135,5.211755,362,2,Well_Water_Level,,4.19
2/1/2024,2/1/2024,7.234584,5.208793,366,2,Well_Water_Level,,2.91
2/1/2024,2/1/2024,7.233535,5.207195,360.4,2,Well_Water_Level,,3.48
2/1/2024,2/1/2024,7.232135,5.207655,359.4,2.099999905,Well_Water_Level,,2.62
2/1/2024,2/1/2024,7.232251,5.208467,365.3,2,Well_Water_Level,,3.36
2/1/2024,2/1/2024,7.233517,5.205103,369.7,1.899999976,Well_Water_Level,,6.34
2/2/2024,2/2/2024,7.235895,5.202401,390.2999878,2.299999952,Well_Water_Level,,7.99
2/2/2024,2/2/2024,7.2354,5.202242,390.2999878,2.200000048,Well_Water_Level,,7.27
2/2/2024,2/2/2024,7.234292,5.201798,369.1,2,Well_Water_Level,,4.53
2/2/2024,2/2/2024,7.233478,5.201267,371.6,2.948999882,Well_Water_Level,,2.07
2/2/2024,2/2/2024,7.232495,5.200648,362.9,2,Well_Water_Level,,1.79
